iter	MultiClass
0	2.210369948
1	2.087834734
2	1.99373931
3	1.916849464
4	1.851835647
5	1.795438975
6	1.744967949
7	1.70083933
8	1.661269131
9	1.625566393
10	1.592233582
11	1.56200373
12	1.534214921
13	1.509181329
14	1.485597565
15	1.463421225
16	1.443151781
17	1.423924903
18	1.406786798
19	1.390837466
20	1.375273976
21	1.360666362
22	1.347262541
23	1.334382266
24	1.322334409
25	1.311219239
26	1.300994903
27	1.290822691
28	1.281141448
29	1.272048021
30	1.263795183
31	1.256068984
32	1.248711509
33	1.241565837
34	1.234643344
35	1.22825301
36	1.222351768
37	1.216563165
38	1.211195298
39	1.206072253
40	1.201167637
41	1.196837697
42	1.192461045
43	1.188175828
44	1.184413496
45	1.180701629
46	1.176798499
47	1.173248964
48	1.169699539
49	1.166779452
50	1.163907843
51	1.161094763
52	1.158556872
53	1.155864712
54	1.153543373
55	1.151404796
56	1.149284439
57	1.147817162
58	1.145820928
59	1.144464633
60	1.142388228
61	1.141169528
62	1.139363895
63	1.138240827
64	1.13649825
65	1.134891059
66	1.133186469
67	1.131280567
68	1.12965372
69	1.128645498
70	1.127695805
71	1.126136761
72	1.124682847
73	1.123509975
74	1.121985385
75	1.121055348
76	1.119702476
77	1.118434967
78	1.1174305
79	1.116083702
80	1.115222131
81	1.113979468
82	1.112959983
83	1.11216478
84	1.111274056
85	1.110190632
86	1.109235638
87	1.108462079
88	1.107462913
89	1.106529122
90	1.105655293
91	1.104760704
92	1.104046335
93	1.103146998
94	1.102365046
95	1.101526113
96	1.10097761
97	1.100251757
98	1.099995009
99	1.099732297
100	1.099020247
101	1.098566493
102	1.097883928
103	1.097259228
104	1.096573461
105	1.096131522
106	1.09556259
107	1.09535443
108	1.094891399
109	1.094291436
110	1.093849828
111	1.093498994
112	1.092910073
113	1.092437325
114	1.092109128
115	1.091529042
116	1.090956244
117	1.090591827
118	1.090096109
119	1.089906722
120	1.089400072
121	1.088977679
122	1.088468378
123	1.087790783
124	1.087316157
125	1.087148856
126	1.086721715
127	1.086237482
128	1.08603904
129	1.085582304
130	1.085111322
131	1.084686279
132	1.084379174
133	1.084045788
134	1.083539579
135	1.083320376
136	1.082919849
137	1.082537762
138	1.082361296
139	1.081804069
140	1.081380903
141	1.081080204
142	1.080656044
143	1.080407688
144	1.080142989
145	1.07968316
146	1.079353639
147	1.078993528
148	1.078616853
149	1.078256853
150	1.077959024
151	1.077541159
152	1.077223012
153	1.077030202
154	1.076573245
155	1.076236545
156	1.075977478
157	1.075707257
158	1.075526152
159	1.075104091
160	1.074807146
161	1.074390385
162	1.074086262
163	1.073772311
164	1.073545047
165	1.07324501
166	1.073087207
167	1.072691096
168	1.072350973
169	1.072191071
170	1.071907709
171	1.071649746
172	1.071328507
173	1.070890101
174	1.070539488
175	1.070335304
176	1.070018371
177	1.069671733
178	1.069345855
179	1.068929978
180	1.068639659
181	1.068453696
182	1.068297548
183	1.067879794
184	1.067879683
185	1.067736456
186	1.067375352
187	1.06708691
188	1.066747118
189	1.066490038
190	1.066186026
191	1.065782958
192	1.065613228
193	1.065378013
194	1.065073559
195	1.064680541
196	1.064370455
197	1.064152688
198	1.063869988
199	1.063655424
200	1.06342308
201	1.06329708
202	1.063094111
203	1.06276227
204	1.062580945
205	1.062398736
206	1.062226908
207	1.061950945
208	1.061735717
209	1.061634233
210	1.061303276
211	1.061138625
212	1.060801484
213	1.060564944
214	1.06039941
215	1.060183521
216	1.059995459
217	1.059627177
218	1.059427962
219	1.059289925
220	1.059139631
221	1.058931802
222	1.058748268
223	1.058479152
224	1.058239409
225	1.058138035
226	1.057905581
227	1.057749323
228	1.057570428
229	1.057336759
230	1.057157753
231	1.056917237
232	1.056706648
233	1.056386071
234	1.05611309
235	1.055922267
236	1.055706378
237	1.055567016
238	1.055345273
239	1.05507185
240	1.054919568
241	1.054628696
242	1.05426461
243	1.054081518
244	1.053908254
245	1.053741064
246	1.053466647
247	1.053161972
248	1.053010242
249	1.052613579
250	1.052368094
251	1.052289248
252	1.052022339
253	1.051808217
254	1.051636499
255	1.051529272
256	1.051393885
257	1.051257836
258	1.051023836
259	1.050838204
260	1.050520388
261	1.050378596
262	1.05018656
263	1.0498884
264	1.049746719
265	1.049514375
266	1.049404498
267	1.049299148
268	1.04910424
269	1.048865933
270	1.048670915
271	1.048550768
272	1.048366571
273	1.048168681
274	1.048088289
275	1.047969688
276	1.047788583
277	1.047542657
278	1.047334497
279	1.047203638
280	1.046898742
281	1.046685061
282	1.046561822
283	1.046426215
284	1.046164718
285	1.046055061
286	1.045966607
287	1.045774349
288	1.045664803
289	1.045426607
290	1.045328766
291	1.045055895
292	1.04498257
293	1.04486165
294	1.044636263
295	1.044382386
296	1.044059711
297	1.043876066
298	1.043651894
299	1.043549416
