iter	Passed	Remaining
0	12	3749
1	19	2930
2	27	2721
3	34	2544
4	41	2462
5	48	2362
6	54	2293
7	62	2288
8	69	2253
9	76	2223
10	84	2223
11	91	2207
12	99	2189
13	106	2181
14	113	2162
15	121	2152
16	129	2149
17	138	2171
18	147	2180
19	156	2192
20	158	2100
21	165	2097
22	173	2085
23	179	2068
24	186	2056
25	194	2046
26	200	2030
27	207	2014
28	213	1999
29	220	1988
30	227	1971
31	233	1959
32	240	1945
33	246	1931
34	253	1918
35	260	1907
36	261	1857
37	267	1845
38	274	1835
39	284	1848
40	291	1843
41	300	1844
42	314	1878
43	320	1867
44	326	1852
45	327	1810
46	333	1796
47	340	1785
48	346	1775
49	349	1745
50	356	1741
51	368	1758
52	376	1755
53	387	1766
54	395	1761
55	403	1756
56	410	1750
57	418	1744
58	425	1738
59	433	1733
60	440	1726
61	448	1720
62	456	1717
63	464	1714
64	472	1709
65	480	1704
66	489	1702
67	497	1697
68	505	1692
69	513	1686
70	520	1680
71	528	1675
72	536	1667
73	543	1660
74	551	1653
75	558	1646
76	564	1635
77	570	1623
78	577	1615
79	583	1604
80	589	1594
81	595	1583
82	601	1573
83	607	1563
84	614	1555
85	621	1545
86	628	1538
87	635	1531
88	644	1527
89	650	1516
90	656	1508
91	663	1499
92	669	1489
93	675	1481
94	682	1472
95	688	1462
96	694	1453
97	700	1444
98	706	1435
99	713	1427
100	723	1425
101	729	1416
102	736	1408
103	748	1410
104	756	1405
105	764	1399
106	772	1394
107	779	1386
108	787	1379
109	793	1371
110	801	1363
111	807	1354
112	813	1345
113	820	1339
114	827	1330
115	833	1322
116	839	1313
117	846	1305
118	852	1296
119	860	1290
120	866	1282
121	874	1275
122	881	1267
123	887	1259
124	893	1251
125	899	1242
126	906	1234
127	913	1227
128	921	1221
129	931	1217
130	937	1209
131	943	1200
132	949	1192
133	955	1184
134	962	1176
135	968	1168
136	976	1161
137	982	1153
138	989	1146
139	996	1139
140	1003	1131
141	1009	1123
142	1015	1115
143	1021	1106
144	1028	1099
145	1034	1090
146	1040	1083
147	1046	1074
148	1052	1066
149	1062	1062
150	1071	1057
151	1080	1052
152	1088	1045
153	1096	1039
154	1104	1033
155	1112	1026
156	1120	1020
157	1128	1014
158	1136	1007
159	1143	1000
160	1150	993
161	1158	986
162	1166	980
163	1174	974
164	1182	967
165	1190	960
166	1197	953
167	1206	948
168	1214	941
169	1221	934
170	1228	926
171	1235	919
172	1241	911
173	1248	903
174	1255	896
175	1262	889
176	1273	885
177	1279	877
178	1286	869
179	1297	865
180	1305	858
181	1314	852
182	1320	844
183	1327	836
184	1333	829
185	1340	821
186	1346	813
187	1353	806
188	1360	798
189	1368	792
190	1375	785
191	1384	778
192	1390	771
193	1397	763
194	1403	755
195	1409	748
196	1416	740
197	1422	732
198	1428	725
199	1435	717
200	1441	709
201	1447	702
202	1453	694
203	1460	687
204	1468	680
205	1475	673
206	1481	665
207	1487	658
208	1493	650
209	1501	643
210	1507	636
211	1514	628
212	1520	621
213	1527	613
214	1534	606
215	1541	599
216	1548	592
217	1555	585
218	1562	577
219	1569	570
220	1575	563
221	1581	555
222	1587	548
223	1594	540
224	1600	533
225	1606	526
226	1613	518
227	1619	511
228	1626	504
229	1639	498
230	1646	491
231	1653	484
232	1661	477
233	1669	470
234	1676	463
235	1684	456
236	1691	449
237	1697	442
238	1704	435
239	1710	427
240	1717	420
241	1724	413
242	1733	406
243	1740	399
244	1746	392
245	1757	385
246	1764	378
247	1773	371
248	1779	364
249	1786	357
250	1792	350
251	1800	342
252	1807	335
253	1814	328
254	1822	321
255	1828	314
256	1837	307
257	1843	300
258	1851	293
259	1862	286
260	1874	280
261	1881	272
262	1888	265
263	1896	258
264	1904	251
265	1911	244
266	1918	237
267	1925	229
268	1931	222
269	1938	215
270	1944	208
271	1951	200
272	1959	193
273	1966	186
274	1974	179
275	1980	172
276	1987	165
277	1995	157
278	2002	150
279	2009	143
280	2017	136
281	2023	129
282	2030	121
283	2038	114
284	2045	107
285	2052	100
286	2059	93
287	2066	86
288	2074	78
289	2081	71
290	2089	64
291	2096	57
292	2103	50
293	2110	43
294	2116	35
295	2124	28
296	2131	21
297	2138	14
298	2146	7
299	2159	0
